gene,log2FC,pvalue,adjusted_pvalue
CYFIP2,1.069777524889928,5.580632319966418e-07,4.747783179802781e-05
CYP2J2,1.0597765938779609,3.165072444545952e-05,0.0008812530501565233
CYP3A43,-1.1412482860330055,0.003009601954086845,0.014892770170648679
CYP3A5,-1.8237400157124535,2.318703071322891e-10,1.3910597132431102e-07
CYP4B1,-1.3930470344073642,0.0002703258239391161,0.004156937294055162
CYP4X1,-1.3334336371821733,6.93234672667813e-08,1.153617730089918e-05
CYSRT1,1.0070628842789808,3.869355141339128e-06,0.00019544340428029897
DANCR,1.2636610880182038,7.410951537435321e-05,0.0016606565412747812
DANT2,-1.2193864494859104,0.0001804539732839731,0.0031519979206566726
DAPK2,1.0311534251948127,2.771263451131302e-06,0.00015452133118294976
DCAF12,1.4137654569594738,1.6937572843592407e-08,4.1302974349777325e-06
DCD,1.015125800333901,0.0017902067848413097,0.01156242718097283
DCST1,1.0439946101385866,0.003954456604516872,0.017467144018346436
DDX24,-1.0137989566879533,1.3711406805583051e-05,0.0004833214612404784
DECR2,1.3329599942500192,5.805154594776582e-06,0.00026180515480266574
DEFA4,1.037485030241081,0.0011485655287045912,0.009627866178062765
DEFB1,-1.4959001685169264,0.0005315444495246507,0.006505510090048846
DEFB118,1.0276638778193319,0.002038662565707294,0.012306042961028467
DEFB121,1.0037920235101065,0.0052736276019677945,0.020952982367470414
DEFB123,1.0305474986935212,0.0013283714562187562,0.010239192118724611
DENND2A,-1.111033311531259,0.0016346502498458277,0.01110827379342842
DENND2B,-1.056416365316374,8.320709391619914e-05,0.0018084943620539783
DENND4B,1.0146275519186032,0.0030411926380102257,0.014968734431893909
DGKD,1.077674975712804,0.0005251873851608133,0.006457157844929656
DHRS11,1.1411695810035667,0.0004104437593065836,0.005499997616126361
DIAPH2,1.0305047516445114,0.00042137963778647,0.0056033872257425935
DIPK1B,1.2252856639332228,1.5249201398236891e-05,0.0005130949943823688
DKC1,1.260257118726411,1.5274930341786908e-06,9.876714748407818e-05
DKK3,-1.0482384032599306,4.297020913572397e-06,0.00021009711943720483
DLGAP2-AS1,1.0193609758820443,0.0008373779832369413,0.008347310076637506
DLGAP3,1.186488875049136,0.0027278400656843183,0.014151411959894939
DLK2,-1.3067470320227201,0.0010414620883046097,0.009215608676683864
DLX1,1.1937464712577077,2.9644409381526296e-09,1.1784750670244908e-06
DMKN,-1.7352114333373883,6.854955919659875e-05,0.0015671495072134029
DMRTA1,1.033162042881998,0.01267385070441564,0.038329248771234774
DNAAF9,-1.2745279320708391,1.7123793343877498e-08,4.1302974349777325e-06
DNAH5,1.3285260252176159,9.869910322984739e-08,1.4465458412295753e-05
DNAJB4,-1.0488070235074194,3.204793980508755e-05,0.0008897191743557518
DNAJB8-AS1,1.0332500455825415,0.0009048388305763225,0.008613824911743643
DNAJC10,1.015907881789198,8.052857007861278e-06,0.0003275526921479401
DNAJC5,1.2804581506569201,5.7031360044518416e-08,9.953595171346966e-06
DNER,-1.4599172466128039,0.00011297323128838928,0.002239331815390446
DNMBP,1.1546296988485376,0.00010220450535850022,0.002084547666307756
DPH2,1.4618173325624637,4.812987571930655e-06,0.0002296008982369675
DPP10-AS3,1.0191244005891575,0.00056452282002239,0.00672508955461745
DPT,-1.441040113969182,1.031180134286735e-07,1.4956989150495502e-05
DPYS,-1.5783161632326577,2.1509187566705064e-05,0.0006677199492262273
DRAIC,1.2747802579046326,2.6959543130468658e-06,0.000151900396950596
DSPP,1.0651932268306408,0.003925789875980817,0.017394206659995914
DST,-1.0107518330767602,5.187276263015993e-07,4.545112634210788e-05
DTD2,1.0069805287989062,6.087917176122948e-07,5.026512231531974e-05
DUBR,-1.1942976305555963,1.3581710302636624e-08,3.5555923788622003e-06
DUOXA1,-1.2012673451056353,0.0031981034996870785,0.015392199839605833
DUS1L,1.6606192771477872,9.905540534809128e-08,1.4465458412295753e-05
DUSP10,-1.1117969898429925,0.00475699148190395,0.019634605017206045
DVL1,1.6894666532184046,2.3908421988222988e-06,0.00013908999859652652
E2F3,1.3546144876476656,3.170854167507014e-06,0.00016932519008426136
EBNA1BP2,1.3188325930941807,3.600611025378815e-05,0.0009626763086761827
EBP,-1.0517642083711747,8.44367300200508e-06,0.00033745942192383595
ECI2-DT,1.0548360318586774,3.340623615985651e-05,0.0009123812616331294
ECSIT,1.325357611903509,5.209951748233453e-06,0.00024303738214698564
ECT2,1.0474914553736743,5.226737542797375e-08,9.196915969773054e-06
EDN3,-1.1761308205896148,0.0003055975474622908,0.004498918061128201
EEF1AKMT1,1.0386611327899,0.004292337497616235,0.018384093027162155
EEF2,1.34514029889896,8.276844729664598e-08,1.3259628791918652e-05
EFCAB7,-1.1258134443737957,4.910507954479265e-06,0.0002332165359708106
EFEMP1,-1.2406751818909623,2.7575483606458496e-08,5.532363612895743e-06
EFHD1,-1.3811256134879326,0.00018695341502771593,0.0032313437684379854
EFS,-1.3349925615815992,1.1098183757826354e-06,7.811301991123224e-05
EGFL7,1.0188499784317782,0.00014602839638400944,0.00271645717952819
EGFR,-1.0002560500385582,5.934934673677792e-06,0.0002665381645184962
EHD2,-1.1410839300613547,1.4906516996594597e-05,0.0005071286852074425
EI24,1.127555633473045,7.83908634350725e-06,0.0003222604240702208
EIF2A,1.0603837554983202,7.027561275378811e-05,0.001589680272903656
EIF2AK3,1.0786190202641546,4.472605911491438e-05,0.0011203434200931937
EIF2B4,1.290762602068035,5.154958962410504e-05,0.001249001174334834
EIF3D,1.1462480548762815,0.0005607040698731415,0.0066981826755518805
EIF3J-DT,1.4275958120397134,6.79526330666939e-06,0.00029267828427019646
EIF3L,1.0993148258037413,0.00022325463452769716,0.003652901859303411
EIF4EBP1,1.118459969323455,9.632152013329948e-05,0.0020133730016568064
ELAC2,1.004121718924638,5.744980076536068e-06,0.00025963681537473636
ELF1,-1.0384835227993057,1.5145999675222086e-05,0.0005112251179685418
ELF4,-1.2855307114207493,0.00012073657946764264,0.0023626728818886824
ELL3,1.415287351751634,1.1616687858765394e-09,5.421205179654711e-07
EMB,1.1892654337686468,4.029348669164711e-05,0.0010396397581846017
EMCN,-1.1159607006278551,5.062324926764167e-05,0.001233517925117439
EML5,-1.1038507663813673,3.301526374967077e-05,0.000904490773071276
EMP2,-1.2088549521568215,2.2966318004609916e-05,0.0007013057590397739
ENOX1,1.0524111635777755,5.978645190354621e-06,0.00026682656195705333
ENPP2,-1.15751335566464,0.00020895140845602947,0.003471795576877387
ENTPD5,1.3524824256402876,2.8927622582831315e-06,0.00015882078618558563
EPAS1,-1.104187665758212,2.4176282095673846e-07,2.709894315018694e-05
EPB41,1.0790747171164286,8.132156369983628e-07,6.239437010838133e-05
EPCAM,1.554557720656633,2.2824597350446197e-05,0.0006979709847892145
EPHA2,-1.0854444974413417,0.0010231741143572751,0.00914424592544031
ERGIC1,1.0247286031245997,5.053078199094039e-07,4.4824144504112286e-05
ESRP2,1.2919536029215115,1.2588398502250542e-05,0.0004549413310569232
ETS2,-1.401172829175095,9.20105131902819e-07,6.810998919502695e-05
ETV5,-1.2977705667177388,0.00023462379729421187,0.003764326649114235
EVA1A-AS,1.026067213294241,0.002554292024722289,0.013711674642338929
EVA1C,-1.6005774139110178,3.440957654163387e-07,3.534308036455762e-05
EZH2,1.4249030362134076,2.6945822241560957e-08,5.457037415656501e-06
F5,1.1580069265745103,6.758756468315505e-08,1.1424427173647948e-05
FADS1,-1.4673674853154528,3.2249926253164835e-05,0.0008921509882431567
FAM107A,-1.6097728051330193,6.905450727453631e-07,5.5313175659047425e-05
FAM136A,1.340048487651702,0.00029744345802785,0.00442189661598605
FAM181A,1.055363042952519,0.0019141324868607397,0.011941494360778697
FAM184A,-1.0057178614374762,0.003567832965082713,0.01643576615052159
FAM201A,1.0230338951057063,5.280463600694052e-09,1.691876300240287e-06
FAM222A,1.4119770334632853,2.896507345110101e-07,3.110211515875336e-05
FAM83B,-1.5447251253845067,3.90554630284205e-06,0.0001968083626364091
FAM83H,1.2615625205347527,5.752029840443178e-07,4.7860009528989806e-05
FAM86DP,-1.0430527557197637,0.000539695676853426,0.0065566763412634385
FAM8A1,1.322871892570686,0.0007276072729577867,0.007820705264897277
FAM90A2P,-1.166257876220962,0.010895380283469201,0.03430997924970417
FAM95A,-1.1821881306525404,0.005907057183425853,0.02263106126508774
FARSA,1.0356865637338617,2.5732791225299964e-06,0.00014730822112893715
FASN,1.0178047560750612,7.002984720166608e-05,0.0015896735413556378
FBP1,1.5827813071397463,1.799833730155907e-05,0.0005810079802294264
